D1,D2,D3,D4,D5
0.87677,-1.3522,-1.6361,0.4191,-3.3625
-1.137,0.14097,-1.2301,-0.18773,-3.3869
0.37934,1.4133,-0.67732,-0.66732,-3.3403
0.25868,-0.39369,0.12975,-1.1947,-3.1395
0.06945,-1.9252,1.0415,-1.6409,-2.8004
-0.55466,0.23765999999999998,1.764,-1.9324,-2.3215
0.67656,2.4139,2.2711,-2.123,-1.7257
-0.49102,0.7912399999999999,2.4707,-2.2105,-1.0835
0.22142,-1.3523,2.1177,-2.2547,-0.40474
0.014847,-1.0676,0.9899600000000001,-2.3669,0.29029
-0.5691,-0.32532,-0.50031,-2.4403,0.96321
0.83775,-0.058617999999999996,-1.7133,-2.3226,1.5925
0.078713,0.36294,-2.3977,-2.0262,2.1244
-0.90964,0.45721999999999996,-2.0585,-1.5090000000000001,2.4959
0.25318,0.31668,-1.1004,-0.83594,2.7442
0.51276,0.45466999999999996,-0.40525,-0.16933,2.9331
0.13861,0.29296,0.13189,0.48462,3.0673
-0.71387,-0.75765,0.35475,1.0848,3.1863
-0.31026,-1.3624,0.32114000000000004,1.5803,3.2495
1.3415,0.17321,0.5234,1.9738,3.1686
-0.79777,1.6705,0.70517,2.173,2.9632
0.02346,0.33074000000000003,0.6424300000000001,2.075,2.6349
-0.56451,-1.3334,0.51653,1.784,2.1978
1.0446,-0.64055,0.35903,1.4479,1.7129
0.099684,0.44056999999999996,0.26252,1.1155,1.1826
-1.1202,0.5029899999999999,0.43985,0.90922,0.61625
0.25804,0.38136,0.67284,0.7874899999999999,0.05088
0.80704,-0.0040456,0.63678,0.62141,-0.48895
-0.20788,-0.49778999999999995,0.31887,0.5,-0.9593
-0.49159,-0.25595,-0.41213999999999995,0.478,-1.3046
-0.60062,0.23654,-1.3196,0.49194,-1.5636
1.4089,0.36449000000000004,-1.9161,0.50956,-1.8032
0.03154,0.26903,-2.1311,0.4714,-2.0301
-1.432,-0.25054,-1.7688,0.27214,-2.2834
1.069,-0.75192,-0.97015,-0.028767,-2.5324
-0.3207,-0.34676999999999997,-0.16426,-0.33082,-2.7015
