D1,D2,D3,D4,D5
-0.94061,-30.305999999999997,28.093000000000004,3.2987,15.833
-27.386,-21.004,46.516000000000005,8.0292,20.831
46.158,33.552,46.69,12.597999999999999,25.180999999999997
-23.0,76.917,33.961999999999996,16.877,28.916
-5.0777,25.593000000000004,24.772,20.285,32.024
9.549,-45.854,14.085,22.748,34.499
-5.9037,-46.263999999999996,0.57465,24.263,36.438
8.016,-23.095,-11.725999999999999,24.054000000000002,37.55
-8.0427,-1.0128,-24.666999999999998,21.276999999999997,37.421
0.44813,25.674,-31.756,15.380999999999998,35.979
6.1776,22.393,-24.1,5.5704,33.054
-9.4617,4.5767,-9.5356,-6.5504,28.956
8.3303,2.3934,1.5647,-18.297,24.315
1.6934,-1.5028,8.1564,-28.686999999999998,19.295
-9.649,-14.27,4.2516,-35.813,14.245
5.3469,-15.698,-4.953,-39.275999999999996,9.3326
0.94304,10.548,-7.2471,-39.759,4.4984
0.97076,31.031999999999996,-4.6675,-35.222,0.22526
-3.9126,0.78623,3.7099,-23.838,-3.0055
-0.7763,-36.603,15.373,-8.3304,-5.4946
4.0694,-28.646,21.088,7.7075,-7.6477
2.7689,-1.9883,21.371,22.345,-9.5647
-9.393,28.844,15.549000000000001,31.888,-11.623
7.3385,48.611999999999995,5.0718,36.869,-13.449000000000002
-3.1497,10.687999999999999,-3.6598,39.738,-14.315
2.7714,-38.283,-10.965,37.622,-14.363
-2.4913,-27.434,-16.218,28.488000000000003,-13.561
-0.56716,0.39833,-18.562,15.152999999999999,-12.025
2.2305,9.1084,-19.796,0.53935,-10.257
-2.5784,14.414000000000001,-17.517,-12.981,-8.2432
1.5115,4.9835,-9.0666,-21.095,-6.0283
5.2188,-10.787,2.0587,-25.136,-3.8827
-7.7715,-6.0548,11.702,-28.399,-1.9573
-1.2372,3.7115,17.881,-28.201999999999998,-0.57207
10.19,3.3365,16.480999999999998,-23.086,-0.13727
-14.082,2.0003,10.45,-15.073,-0.32137
12.682,0.48499,5.9389,-5.5652,-0.5798300000000001
-4.3335,-2.3739,1.8802,3.3069,-0.82835
-1.5464,-1.9696,-0.8369200000000001,7.9355,-0.72929
0.85955,-0.4047,-2.2153,9.8894,-0.48395
3.5736,-0.70472,-5.0983,12.093,-0.6352899999999999
-11.59,-0.3359,-7.4103,12.78,-0.9549799999999999
15.12,2.2749,-7.0527,11.366,-1.3330000000000002
-11.596,3.9595,-5.3456,8.7823,-1.8367
4.9774,1.4351,-2.8686,5.038,-2.3139
6.3771,-1.8914,0.18312,1.5737,-2.8609
-12.206,-1.9485,2.6626,0.57876,-3.6352
4.5956,-2.0902,4.5012,0.8195399999999999,-4.4111
4.1092,-5.3542,5.8475,0.5060399999999999,-4.9372
-7.8083,-5.0866,5.4454,0.37174,-5.1392
7.4539,6.2391,2.0738,0.33164,-4.8352
-0.70169,14.827,-2.5454,0.25259000000000004,-4.1798
-4.7022,2.4953,-5.9842,0.75279,-3.5088
0.67257,-12.071,-7.425,1.1132,-2.8203
4.0498,-6.3499,-5.0213,0.45203999999999994,-2.2197
-1.1568,3.4283,-0.52312,-0.6056600000000001,-1.6837
